TestTwoDigitNewickRelease	6.10859e-230	309	((1000,100),30)	10	9000000
TestProjectRampal_Endversion2	2.25125e-213	52	((1000,100),20)	10	6000000
TestTwoDigitNewickRelease	2.25125e-213	206	((1000,100),20)	10	6000000
TestProjectRampal_Endversion2	1.52869e-319	272	((1000,100),100)	10	30000000
TestTwoDigitNewickRelease	1.52869e-319	1076	((1000,100),100)	10	30000000
TestProjectRampal_Endversion2	1.27107e-194	25	((1000,100),10)	10	3000000
TestTwoDigitNewickRelease	1.27107e-194	101	((1000,100),10)	10	3000000
TestProjectRampal_Endversion2	1.68674e-156	12	((100,100),90)	10	2700000
TestTwoDigitNewickRelease	1.68674e-156	12	((100,100),90)	10	2700000
TestProjectRampal_Endversion2	4.41521e-151	10	((100,100),80)	10	2400000
TestTwoDigitNewickRelease	4.41521e-151	10	((100,100),80)	10	2400000
TestProjectRampal_Endversion2	2.86889e-145	9	((100,100),70)	10	2100000
TestTwoDigitNewickRelease	2.86889e-145	8	((100,100),70)	10	2100000
TestProjectRampal_Endversion2	5.47198e-139	8	((100,100),60)	10	1800000
TestTwoDigitNewickRelease	5.47198e-139	7	((100,100),60)	10	1800000
TestProjectRampal_Endversion2	3.84519e-132	6	((100,100),50)	10	1500000
TestTwoDigitNewickRelease	3.84519e-132	6	((100,100),50)	10	1500000
TestProjectRampal_Endversion2	1.37571e-124	5	((100,100),40)	10	1200000
TestTwoDigitNewickRelease	1.37571e-124	5	((100,100),40)	10	1200000
TestProjectRampal_Endversion2	4.10855e-116	3	((100,100),30)	10	900000
TestTwoDigitNewickRelease	4.10855e-116	3	((100,100),30)	10	900000
TestProjectRampal_Endversion2	2.38357e-106	3	((100,100),20)	10	600000
TestTwoDigitNewickRelease	2.38357e-106	2	((100,100),20)	10	600000
TestProjectRampal_Endversion2	6.81317e-320	137	((100,100),1000)	10	30000000
TestTwoDigitNewickRelease	6.81317e-320	466	((100,100),1000)	10	30000000
TestProjectRampal_Endversion2	1.40699e-161	13	((100,100),100)	10	3000000
TestTwoDigitNewickRelease	1.40699e-161	14	((100,100),100)	10	3000000
TestProjectRampal_Endversion2	1.58509e-94	1	((100,100),10)	10	300000
TestTwoDigitNewickRelease	1.58509e-94	1	((100,100),10)	10	300000
TestProjectRampal_Endversion2	1.01039e-193	26	((10,1000),100)	10	3000000
TestTwoDigitNewickRelease	1.01039e-193	111	((10,1000),100)	10	3000000
TestProjectRampal_Endversion2	1.3687e-194	25	((10,100),1000)	10	3000000
TestTwoDigitNewickRelease	1.3687e-194	82	((10,100),1000)	10	3000000
TestProjectRampal_Endversion2	4.73149e-94	2	((10,100),100)	10	300000
TestTwoDigitNewickRelease	4.73149e-94	2	((10,100),100)	10	300000
TestProjectRampal_Endversion2	7.55605e-18	0	(((5,5),5),5)	10	2500
TestTwoDigitNewickRelease	7.55605e-18	0	(((5,5),5),5)	10	2500
TestProjectRampal_Endversion2	6.30722e-11	0	(((3,3),3),3)	10	324
TestTwoDigitNewickRelease	6.30722e-11	0	(((3,3),3),3)	10	324
TestProjectRampal_Endversion2	6.94432e-10	0	(((2,3),3),3)	10	216
TestTwoDigitNewickRelease	6.94432e-10	0	(((2,3),3),3)	10	216
TestProjectRampal_Endversion2	6.84343e-09	0	(((2,2),3),3)	10	144
TestTwoDigitNewickRelease	6.84343e-09	0	(((2,2),3),3)	10	144
TestProjectRampal_Endversion2	6.42062e-08	0	(((2,2),2),3)	10	96
TestTwoDigitNewickRelease	6.42062e-08	0	(((2,2),2),3)	10	96
TestProjectRampal_Endversion2	5.66368e-07	0	(((2,2),2),2)	10	64
TestTwoDigitNewickRelease	5.66368e-07	0	(((2,2),2),2)	10	64
TestProjectRampal_Endversion2	5.44502e-24	0	((((5,5),5),5),5)	10	15625
TestTwoDigitNewickRelease	5.44502e-24	0	((((5,5),5),5),5)	10	15625
TestProjectRampal_Endversion2	1.04178e-14	0	((((3,3),3),3),3)	10	1215
TestTwoDigitNewickRelease	1.04178e-14	0	((((3,3),3),3),3)	10	1215
TestProjectRampal_Endversion2	1.34891e-13	1	((((2,3),3),3),3)	10	810
TestTwoDigitNewickRelease	1.34891e-13	0	((((2,3),3),3),3)	10	810
TestProjectRampal_Endversion2	1.52424e-12	0	((((2,2),3),3),3)	10	540
TestTwoDigitNewickRelease	1.52424e-12	0	((((2,2),3),3),3)	10	540
TestProjectRampal_Endversion2	1.67494e-11	0	((((2,2),2),3),3)	10	360
TestTwoDigitNewickRelease	1.67494e-11	0	((((2,2),2),3),3)	10	360
TestProjectRampal_Endversion2	1.70858e-10	0	((((2,2),2),2),3)	10	240
TestTwoDigitNewickRelease	1.70858e-10	0	((((2,2),2),2),3)	10	240
TestProjectRampal_Endversion2	1.66197e-09	0	((((2,2),2),2),2)	10	160
TestTwoDigitNewickRelease	1.66197e-09	0	((((2,2),2),2),2)	10	160
TestProjectRampal_Endversion2	1.28288e-30	1	(((((5,5),5),5),5),5)	10	93750
TestTwoDigitNewickRelease	1.28288e-30	0	(((((5,5),5),5),5),5)	10	93750
TestProjectRampal_Endversion2	8.05661e-19	0	(((((3,3),3),3),3),3)	10	4374
TestTwoDigitNewickRelease	8.05661e-19	0	(((((3,3),3),3),3),3)	10	4374
TestProjectRampal_Endversion2	1.20422e-17	0	(((((2,3),3),3),3),3)	10	2916
TestTwoDigitNewickRelease	1.20422e-17	0	(((((2,3),3),3),3),3)	10	2916
TestProjectRampal_Endversion2	1.52991e-16	0	(((((2,2),3),3),3),3)	10	1944
TestTwoDigitNewickRelease	1.52991e-16	0	(((((2,2),3),3),3),3)	10	1944
TestProjectRampal_Endversion2	1.94894e-15	0	(((((2,2),2),3),3),3)	10	1296
TestTwoDigitNewickRelease	1.94894e-15	0	(((((2,2),2),3),3),3)	10	1296
TestProjectRampal_Endversion2	2.28426e-14	0	(((((2,2),2),2),3),3)	10	864
TestTwoDigitNewickRelease	2.28426e-14	0	(((((2,2),2),2),3),3)	10	864
TestProjectRampal_Endversion2	2.52818e-13	0	(((((2,2),2),2),2),3)	10	576
TestTwoDigitNewickRelease	2.52818e-13	0	(((((2,2),2),2),2),3)	10	576
TestProjectRampal_Endversion2	2.68866e-12	0	(((((2,2),2),2),2),2)	10	384
TestTwoDigitNewickRelease	2.68866e-12	0	(((((2,2),2),2),2),2)	10	384
TestProjectRampal_Endversion2	1.1798e-37	7	((((((5,5),5),5),5),5),5)	10	546875
TestTwoDigitNewickRelease	1.1798e-37	0	((((((5,5),5),5),5),5),5)	10	546875
TestProjectRampal_Endversion2	3.30594e-23	0	((((((3,3),3),3),3),3),3)	10	15309
TestTwoDigitNewickRelease	3.30594e-23	0	((((((3,3),3),3),3),3),3)	10	15309
TestProjectRampal_Endversion2	5.60673e-22	1	((((((2,3),3),3),3),3),3)	10	10206
TestTwoDigitNewickRelease	5.60673e-22	0	((((((2,3),3),3),3),3),3)	10	10206
TestProjectRampal_Endversion2	7.86212e-21	0	((((((2,2),3),3),3),3),3)	10	6804
TestTwoDigitNewickRelease	7.86212e-21	0	((((((2,2),3),3),3),3),3)	10	6804
TestProjectRampal_Endversion2	1.1482e-19	0	((((((2,2),2),3),3),3),3)	10	4536
TestTwoDigitNewickRelease	1.1482e-19	0	((((((2,2),2),3),3),3),3)	10	4536
TestProjectRampal_Endversion2	1.5392e-18	0	((((((2,2),2),2),3),3),3)	10	3024
TestTwoDigitNewickRelease	1.5392e-18	0	((((((2,2),2),2),3),3),3)	10	3024
TestProjectRampal_Endversion2	1.92877e-17	0	((((((2,2),2),2),2),3),3)	10	2016
TestTwoDigitNewickRelease	1.92877e-17	0	((((((2,2),2),2),2),3),3)	10	2016
TestProjectRampal_Endversion2	2.30606e-16	0	((((((2,2),2),2),2),2),3)	10	1344
TestTwoDigitNewickRelease	2.30606e-16	0	((((((2,2),2),2),2),2),3)	10	1344
