((90,1000),100)	10	NewickVector	1.82639e-308	41.91
((90,1000),100)	10	TwoDigitNewick	1.82639e-308	956.28
((90,100),1000)	10	NewickVector	7.49634e-309	43.19
((90,100),1000)	10	TwoDigitNewick	7.49634e-309	462.33
((90,100),100)	10	NewickVector	1.71375e-156	3.87
((90,100),100)	10	TwoDigitNewick	1.71375e-156	13.02
((80,1000),100)	10	NewickVector	6.175e-297	37.68
((80,1000),100)	10	TwoDigitNewick	6.175e-297	862.13
((80,100),1000)	10	NewickVector	2.31766e-297	38.86
((80,100),1000)	10	TwoDigitNewick	2.31766e-297	428.3
((80,100),100)	10	NewickVector	4.58979e-151	3.41
((80,100),100)	10	TwoDigitNewick	4.58979e-151	11.32
((70,1000),100)	10	NewickVector	6.8052e-285	32.61
((70,1000),100)	10	TwoDigitNewick	6.8052e-285	746.67
((70,100),1000)	10	NewickVector	2.31643e-285	34.08
((70,100),1000)	10	TwoDigitNewick	2.31643e-285	395.3
((70,100),100)	10	NewickVector	3.08009e-145	2.99
((70,100),100)	10	TwoDigitNewick	3.08009e-145	10.82
((60,1000),100)	10	NewickVector	2.93438e-272	28.02
((60,1000),100)	10	TwoDigitNewick	2.93438e-272	660.93
((60,100),1000)	10	NewickVector	8.96952e-273	28.72
((60,100),1000)	10	TwoDigitNewick	8.96952e-273	367.41
((60,100),100)	10	NewickVector	6.14611e-139	2.57
((60,100),100)	10	TwoDigitNewick	6.14611e-139	9.27
((50,1000),100)	10	NewickVector	6.32472e-259	22.99
((50,1000),100)	10	TwoDigitNewick	6.32472e-259	532.53
((50,100),1000)	10	NewickVector	1.71525e-259	23.97
((50,100),1000)	10	TwoDigitNewick	1.71525e-259	343.42
((50,100),100)	10	NewickVector	4.60266e-132	2.09
((50,100),100)	10	TwoDigitNewick	4.60266e-132	8.52
((5,5),5)	10	NewickVector	2.69507e-12	0
((5,5),5)	10	TwoDigitNewick	2.69507e-12	0
((40,1000),100)	10	NewickVector	9.62987e-245	18.56
((40,1000),100)	10	TwoDigitNewick	9.62987e-245	428.51
((40,100),1000)	10	NewickVector	2.28226e-245	19.26
((40,100),1000)	10	TwoDigitNewick	2.28226e-245	282.53
((40,100),100)	10	NewickVector	1.8049e-124	1.74
((40,100),100)	10	TwoDigitNewick	1.8049e-124	7.02
((30,1000),100)	10	NewickVector	1.75257e-229	13.9
((30,1000),100)	10	TwoDigitNewick	1.75257e-229	324.53
((30,100),1000)	10	NewickVector	3.55885e-230	15.64
((30,100),1000)	10	TwoDigitNewick	3.55885e-230	227.08
((30,100),100)	10	NewickVector	6.18942e-116	1.32
((30,100),100)	10	TwoDigitNewick	6.18942e-116	5.36
((3,3),3)	10	NewickVector	1.51144e-07	0
((3,3),3)	10	TwoDigitNewick	1.51144e-07	0
((20,1000),100)	10	NewickVector	9.37565e-213	9.41
((20,1000),100)	10	TwoDigitNewick	9.37565e-213	214.85
((20,100),1000)	10	NewickVector	1.58746e-213	9.71
((20,100),1000)	10	TwoDigitNewick	1.58746e-213	158.95
((20,100),100)	10	NewickVector	4.50697e-106	0.82
((20,100),100)	10	TwoDigitNewick	4.50697e-106	3.63
((2,3),3)	10	NewickVector	1.38747e-06	0
((2,3),3)	10	TwoDigitNewick	1.38747e-06	0
((2,2),3)	10	NewickVector	1.16699e-05	0
((2,2),3)	10	TwoDigitNewick	1.16699e-05	0
((2,2),2)	10	NewickVector	9.25001e-05	0
((2,2),2)	10	TwoDigitNewick	9.25001e-05	0
((1000,100),90)	10	NewickVector	1.67464e-308	40.71
((1000,100),90)	10	TwoDigitNewick	1.67464e-308	946.25
((1000,100),80)	10	NewickVector	5.12967e-297	36.13
((1000,100),80)	10	TwoDigitNewick	5.12967e-297	847.25
((1000,100),70)	10	NewickVector	5.04473e-285	31.55
((1000,100),70)	10	TwoDigitNewick	5.04473e-285	734
((1000,100),60)	10	NewickVector	1.90312e-272	26.87
((1000,100),60)	10	TwoDigitNewick	1.90312e-272	624.18
((1000,100),50)	10	NewickVector	3.49336e-259	22.55
((1000,100),50)	10	TwoDigitNewick	3.49336e-259	526.7
((1000,100),40)	10	NewickVector	4.35688e-245	17.74
((1000,100),40)	10	TwoDigitNewick	4.35688e-245	415.3
((1000,100),30)	10	NewickVector	6.10859e-230	13.16
((1000,100),30)	10	TwoDigitNewick	6.10859e-230	315.56
((1000,100),20)	10	NewickVector	2.25125e-213	8.64
((1000,100),20)	10	TwoDigitNewick	2.25125e-213	204.56
((1000,100),100)	10	NewickVector	1.52869e-319	47.29
((1000,100),100)	10	TwoDigitNewick	1.52869e-319	1631.41
((1000,100),10)	10	NewickVector	1.27107e-194	4.18
((1000,100),10)	10	TwoDigitNewick	1.27107e-194	102.33
((100,100),90)	10	NewickVector	1.68674e-156	3.93
((100,100),90)	10	TwoDigitNewick	1.68674e-156	12.15
((100,100),80)	10	NewickVector	4.41521e-151	3.55
((100,100),80)	10	TwoDigitNewick	4.41521e-151	10.1
((100,100),70)	10	NewickVector	2.86889e-145	2.99
((100,100),70)	10	TwoDigitNewick	2.86889e-145	8.77
((100,100),60)	10	NewickVector	5.47198e-139	2.5
((100,100),60)	10	TwoDigitNewick	5.47198e-139	6.84
((100,100),50)	10	NewickVector	3.84519e-132	2.1
((100,100),50)	10	TwoDigitNewick	3.84519e-132	6.21
((100,100),40)	10	NewickVector	1.37571e-124	1.69
((100,100),40)	10	TwoDigitNewick	1.37571e-124	4.48
((100,100),30)	10	NewickVector	4.10855e-116	1.24
((100,100),30)	10	TwoDigitNewick	4.10855e-116	3.14
((100,100),20)	10	NewickVector	2.38357e-106	0.81
((100,100),20)	10	TwoDigitNewick	2.38357e-106	2.08
((100,100),1000)	10	NewickVector	6.81317e-320	48.7
((100,100),1000)	10	TwoDigitNewick	6.81317e-320	455.62
((100,100),100)	10	NewickVector	1.40699e-161	4.38
((100,100),100)	10	TwoDigitNewick	1.40699e-161	13.79
((100,100),10)	10	NewickVector	1.58509e-94	0.38
((100,100),10)	10	TwoDigitNewick	1.58509e-94	1
((10,1000),100)	10	NewickVector	1.01039e-193	5
((10,1000),100)	10	TwoDigitNewick	1.01039e-193	110.64
((10,100),1000)	10	NewickVector	1.3687e-194	5.33
((10,100),1000)	10	TwoDigitNewick	1.3687e-194	84.22
((10,100),100)	10	NewickVector	4.73149e-94	0.42
((10,100),100)	10	TwoDigitNewick	4.73149e-94	1.8
(((5,5),5),5)	10	NewickVector	7.55605e-18	0
(((5,5),5),5)	10	TwoDigitNewick	7.55605e-18	0
(((3,3),3),3)	10	NewickVector	6.30722e-11	0
(((3,3),3),3)	10	TwoDigitNewick	6.30722e-11	0
(((2,3),3),3)	10	NewickVector	6.94432e-10	0
(((2,3),3),3)	10	TwoDigitNewick	6.94432e-10	0
(((2,2),3),3)	10	NewickVector	6.84343e-09	0
(((2,2),3),3)	10	TwoDigitNewick	6.84343e-09	0
(((2,2),2),3)	10	NewickVector	6.42062e-08	0
(((2,2),2),3)	10	TwoDigitNewick	6.42062e-08	0
(((2,2),2),2)	10	NewickVector	5.66368e-07	0
(((2,2),2),2)	10	TwoDigitNewick	5.66368e-07	0
((((5,5),5),5),5)	10	NewickVector	5.44502e-24	0.02
((((5,5),5),5),5)	10	TwoDigitNewick	5.44502e-24	0.01
